,Price (Cr),Location,Area (Marla),Bedrooms,Bathrooms
1222,2.01,9.743124363636364,5.8,2,2
1223,35.0,15.967727272727274,100.0,6,6
1224,8.0,18.38326530612245,8.7,3,3
1225,9.9,14.354166666666666,12.0,6,6
1226,10.0,14.354166666666666,14.0,3,3
1227,1.25,9.743124363636364,6.0,2,2
1228,1.55,9.743124363636364,6.6,3,3
1229,10.5,9.743124363636364,20.0,6,6
1230,1.35,1.65,5.0,3,3
1231,4.0,61.9,8.0,5,6
1232,1.6,2.2,5.0,5,6
1233,10.0,6.95,20.0,6,6
1234,3.9,6.95,8.0,5,6
1235,4.0,2.2,10.0,6,6
1236,1.95,2.2,5.0,5,6
1237,3.2,4.242857142857143,5.0,5,5
1238,3.65,3.583207547169811,7.0,5,7
1239,1.15,9.743124363636364,3.3,1,1
1240,5.75,10.208433734939758,5.0,4,4
1241,6.75,9.743124363636364,10.0,5,6
1242,4.3,2.511978787878788,11.6,3,4
1243,1.18,1.345,3.4,1,1
1244,14.0,14.354166666666666,14.0,5,5
1245,10.7,14.354166666666666,14.0,6,6
1246,7.0,9.743124363636364,10.0,5,6
1247,8.0,6.986666666666667,8.9,2,2
1248,5.5,6.986666666666667,5.1,1,1
1249,2.2,2.511978787878788,8.0,6,6
1250,10.75,7.064183673469388,14.0,6,6
1251,9.0,10.208433734939758,8.0,4,4
1252,1.95,1.65,5.0,6,6
1253,3.5,4.080263157894737,10.0,7,6
1254,3.0,2.584,20.0,6,6
1255,2.6,4.642857142857143,4.9,6,2
1256,2.65,4.080263157894737,7.0,6,5
1257,0.53,4.080263157894737,3.1,2,2
1258,2.65,15.18939393939394,7.8,2,2
1259,1.89,9.743124363636364,5.1,2,2
1260,1.93,9.743124363636364,5.2,2,2
1261,13.2,9.743124363636364,20.0,5,6
1262,5.65,10.208433734939758,5.0,4,4
1263,4.5,4.242857142857143,6.0,5,5
1264,22.0,15.18939393939394,22.0,7,6
1265,16.5,7.064183673469388,20.0,7,7
1266,16.7,7.064183673469388,20.0,8,7
1267,3.75,4.157913669064748,9.0,5,5
1268,11.5,14.354166666666666,14.0,5,5
1269,20.0,14.354166666666666,14.0,9,6
